,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,$p13$,$l13$,$r13$,$\gamma13$,$l14$,$p14$
1,1,1,1,0,0,4583,1508.0,128.0,360.0,1.0,0,0,0.7430057266238076,1.061649950058472,-0.7430057266238076,0.3659825947660783,1.0982482095350798,0.7499317289492948
2,1,1,0,0,1,3000,0.0,66.0,360.0,1.0,2,1,0.7894021117266881,1.3213252658712988,0.21059788827331194,0.3103056330390686,1.3523558291752058,0.7945145105677534
3,1,1,0,1,0,2583,2358.0,120.0,360.0,1.0,2,1,0.7430057266238076,1.061649950058472,0.2569942733761924,-1.5849431579974214,0.9031556342587298,0.7115975545024212
4,1,0,0,0,0,6000,0.0,141.0,360.0,1.0,2,1,0.7139550857101393,0.9146712137316626,0.2860449142898607,0.6357533375478005,0.9782465474864427,0.7267601545181426
5,1,1,2,0,1,5417,4196.0,267.0,360.0,1.0,2,1,0.7399382097017709,1.0456474245356082,0.26006179029822907,0.6357533375478005,1.1092227582903882,0.751984181165449
6,1,1,0,1,0,2333,1516.0,95.0,360.0,1.0,2,1,0.7430057266238076,1.061649950058472,0.2569942733761924,-1.5849431579974214,0.9031556342587298,0.7115975545024212
7,1,1,3,0,0,3036,2504.0,158.0,360.0,0.0,1,0,0.2636011938096454,-1.027334496728439,-0.2636011938096454,-0.8439522076231205,-1.111729717490751,0.24754855640590148
8,1,1,2,0,0,4006,1526.0,168.0,360.0,1.0,2,1,0.7399382097017709,1.0456474245356082,0.26006179029822907,-1.5849431579974214,0.8871531087358661,0.7083023249583722
9,1,1,1,0,0,12841,10968.0,349.0,360.0,1.0,1,0,0.645069567000363,0.5974363599034889,-0.645069567000363,0.6357533375478005,0.661011693658269,0.6594876147674751
10,1,1,2,0,0,3200,700.0,70.0,360.0,1.0,2,1,0.7894021117266881,1.3213252658712988,0.21059788827331194,-1.5849431579974214,1.1628309500715566,0.7618467326024158
12,1,1,2,0,0,3073,8106.0,200.0,360.0,1.0,2,1,0.7399382097017709,1.0456474245356082,0.26006179029822907,-1.5849431579974214,0.8871531087358661,0.7083023249583722
13,1,0,0,0,0,1853,2840.0,114.0,360.0,1.0,0,0,0.6581353921082581,0.6549958979188354,-0.6581353921082581,-1.5849431579974214,0.49650158211909323,0.6216368384845538
14,1,1,2,0,0,1299,1086.0,17.0,120.0,1.0,2,1,0.7865673513042185,1.304357032922855,0.2134326486957815,0.01911517368982732,1.3062685502918379,0.7868880794357624
15,1,0,0,0,0,4950,0.0,125.0,360.0,1.0,2,1,0.7139550857101393,0.9146712137316626,0.2860449142898607,0.6357533375478005,0.9782465474864427,0.7267601545181426
17,0,0,0,0,0,3510,0.0,76.0,360.0,0.0,2,0,0.2636011938096454,-1.027334496728439,-0.2636011938096454,-0.8439522076231205,-1.111729717490751,0.24754855640590148
18,1,1,0,1,0,4887,0.0,133.0,360.0,1.0,0,0,0.7894021117266881,1.3213252658712988,-0.7894021117266881,0.6357533375478005,1.3849005996260788,0.7997769049147031
20,1,1,0,1,0,7660,0.0,104.0,360.0,0.0,2,0,0.2636011938096454,-1.027334496728439,-0.2636011938096454,-0.8439522076231205,-1.111729717490751,0.24754855640590148
21,1,1,1,0,0,5955,5625.0,315.0,360.0,1.0,2,1,0.7712598974371929,1.2154389723844594,0.22874010256280708,0.6357533375478005,1.2790143061392394,0.7822819428079169
22,1,1,0,1,0,2600,1911.0,116.0,360.0,0.0,1,0,0.2636011938096454,-1.027334496728439,-0.2636011938096454,-0.8439522076231205,-1.111729717490751,0.24754855640590148
25,1,1,0,0,1,9560,0.0,191.0,360.0,1.0,1,1,0.7800945854996683,1.2662176559781304,0.21990541450033174,0.6357533375478005,1.3297929897329104,0.7908063907999269
26,1,1,0,0,0,2799,2253.0,122.0,360.0,1.0,1,1,0.7430057266238076,1.061649950058472,0.2569942733761924,-1.5849431579974214,0.9031556342587298,0.7115975545024212
27,1,1,2,1,0,4226,1040.0,110.0,360.0,1.0,2,1,0.7430057266238076,1.061649950058472,0.2569942733761924,0.3659825947660783,1.0982482095350798,0.7499317289492948
28,1,0,0,1,0,1442,0.0,35.0,360.0,1.0,2,0,0.711586275613773,0.9031006766442506,-0.711586275613773,0.01911517368982732,0.9050121940132334,0.7119784199864034
31,1,0,0,0,0,3167,0.0,74.0,360.0,1.0,2,0,0.7139550857101393,0.9146712137316626,-0.7139550857101393,0.3103056330390686,0.9457017770355695,0.7202499496804979
32,1,0,1,0,1,4692,0.0,106.0,360.0,1.0,0,0,0.7139550857101393,0.9146712137316626,-0.7139550857101393,0.3659825947660783,0.9512694732082705,0.7213704076627278
33,1,1,0,0,0,3500,1667.0,114.0,360.0,1.0,1,1,0.7430057266238076,1.061649950058472,0.2569942733761924,-1.5849431579974214,0.9031556342587298,0.7115975545024212
34,1,0,3,0,0,12500,3000.0,320.0,360.0,1.0,0,0,0.7495741006415392,1.0963421136022553,-0.7495741006415392,0.6357533375478005,1.1599174473570353,0.7613177142737974
37,0,1,0,0,0,3667,1459.0,144.0,360.0,1.0,1,1,0.7430057266238076,1.061649950058472,0.2569942733761924,-1.5849431579974214,0.9031556342587298,0.7115975545024212
38,1,0,0,0,0,4166,7210.0,184.0,360.0,1.0,2,1,0.6545258756271753,0.6389933723959716,0.34547412437282465,-1.5849431579974214,0.4804990565962295,0.617865712790236
39,1,0,0,1,0,3748,1668.0,110.0,360.0,1.0,1,1,0.6581353921082581,0.6549958979188354,0.3418646078917419,-1.5849431579974214,0.49650158211909323,0.6216368384845538
40,1,0,0,0,0,3600,0.0,80.0,360.0,1.0,2,0,0.7139550857101393,0.9146712137316626,-0.7139550857101393,0.3103056330390686,0.9457017770355695,0.7202499496804979
41,1,0,0,0,0,1800,1213.0,47.0,360.0,1.0,2,1,0.6581353921082581,0.6549958979188354,0.3418646078917419,-1.5849431579974214,0.49650158211909323,0.6216368384845538
43,1,1,0,0,0,3941,2336.0,134.0,360.0,1.0,1,1,0.7430057266238076,1.061649950058472,0.2569942733761924,-1.5849431579974214,0.9031556342587298,0.7115975545024212
46,1,1,1,0,0,5649,0.0,44.0,360.0,1.0,2,1,0.7894021117266881,1.3213252658712988,0.21059788827331194,0.6357533375478005,1.3849005996260788,0.7997769049147031
47,1,1,0,0,0,5821,0.0,144.0,360.0,1.0,2,1,0.7894021117266881,1.3213252658712988,0.21059788827331194,0.6357533375478005,1.3849005996260788,0.7997769049147031
48,0,1,0,0,0,2645,3440.0,120.0,360.0,0.0,2,0,0.2636011938096454,-1.027334496728439,-0.2636011938096454,-0.8439522076231205,-1.111729717490751,0.24754855640590148
49,0,0,0,0,0,4000,2275.0,144.0,360.0,1.0,1,1,0.6581353921082581,0.6549958979188354,0.3418646078917419,-1.5849431579974214,0.49650158211909323,0.6216368384845538
50,0,1,0,1,0,1928,1644.0,100.0,360.0,1.0,1,1,0.7430057266238076,1.061649950058472,0.2569942733761924,-1.5849431579974214,0.9031556342587298,0.7115975545024212
51,0,0,0,0,0,3086,0.0,120.0,360.0,1.0,1,1,0.7139550857101393,0.9146712137316626,0.2860449142898607,0.3103056330390686,0.9457017770355695,0.7202499496804979
52,0,0,0,0,0,4230,0.0,112.0,360.0,1.0,1,0,0.7139550857101393,0.9146712137316626,-0.7139550857101393,0.3659825947660783,0.9512694732082705,0.7213704076627278
53,1,1,2,0,0,4616,0.0,134.0,360.0,1.0,2,0,0.7894021117266881,1.3213252658712988,-0.7894021117266881,0.3659825947660783,1.3579235253479067,0.795422008912774
54,0,1,1,0,1,11500,0.0,286.0,360.0,0.0,2,0,0.2636011938096454,-1.027334496728439,-0.2636011938096454,-0.8439522076231205,-1.111729717490751,0.24754855640590148
55,1,1,2,0,0,2708,1167.0,97.0,360.0,1.0,1,1,0.7430057266238076,1.061649950058472,0.2569942733761924,-1.5849431579974214,0.9031556342587298,0.7115975545024212
56,1,1,0,0,0,2132,1591.0,96.0,360.0,1.0,1,1,0.7430057266238076,1.061649950058472,0.2569942733761924,-1.5849431579974214,0.9031556342587298,0.7115975545024212
57,1,1,0,0,0,3366,2200.0,135.0,360.0,1.0,0,0,0.7430057266238076,1.061649950058472,-0.7430057266238076,-1.5849431579974214,0.9031556342587298,0.7115975545024212
58,1,1,1,0,0,8080,2250.0,180.0,360.0,1.0,2,1,0.7399382097017709,1.0456474245356082,0.26006179029822907,0.6357533375478005,1.1092227582903882,0.751984181165449
59,1,1,2,1,0,3357,2859.0,144.0,360.0,1.0,2,1,0.7430057266238076,1.061649950058472,0.2569942733761924,-1.5849431579974214,0.9031556342587298,0.7115975545024212
60,1,1,0,0,0,2500,3796.0,120.0,360.0,1.0,2,1,0.7430057266238076,1.061649950058472,0.2569942733761924,-1.5849431579974214,0.9031556342587298,0.7115975545024212
61,1,1,3,0,0,3029,0.0,99.0,360.0,1.0,2,1,0.7894021117266881,1.3213252658712988,0.21059788827331194,0.3103056330390686,1.3523558291752058,0.7945145105677534
62,1,1,0,1,1,2609,3449.0,165.0,180.0,0.0,0,0,0.2636011938096454,-1.027334496728439,-0.2636011938096454,-0.8439522076231205,-1.111729717490751,0.24754855640590148
64,0,0,0,0,0,4166,0.0,116.0,360.0,0.0,1,0,0.2636011938096454,-1.027334496728439,-0.2636011938096454,-0.8439522076231205,-1.111729717490751,0.24754855640590148
65,1,1,0,0,0,5726,4595.0,258.0,360.0,1.0,1,0,0.7399382097017709,1.0456474245356082,-0.7399382097017709,0.6357533375478005,1.1092227582903882,0.751984181165449
66,1,0,0,1,0,3200,2254.0,126.0,180.0,0.0,2,0,0.2636011938096454,-1.027334496728439,-0.2636011938096454,-0.8439522076231205,-1.111729717490751,0.24754855640590148
67,1,1,1,0,0,10750,0.0,312.0,360.0,1.0,2,1,0.7414645906429118,1.0535947420808451,0.2585354093570882,0.6357533375478005,1.117170075835625,0.7534634173563224
68,1,1,3,1,1,7100,0.0,125.0,60.0,1.0,2,1,0.7894021117266881,1.3213252658712988,0.21059788827331194,0.6357533375478005,1.3849005996260788,0.7997769049147031
69,0,0,0,0,0,4300,0.0,136.0,360.0,0.0,1,0,0.2636011938096454,-1.027334496728439,-0.2636011938096454,-0.8439522076231205,-1.111729717490751,0.24754855640590148
70,1,1,0,0,0,3208,3066.0,172.0,360.0,1.0,2,1,0.7399382097017709,1.0456474245356082,0.26006179029822907,-1.5849431579974214,0.8871531087358661,0.7083023249583722
71,1,1,2,1,1,1875,1875.0,97.0,360.0,1.0,1,1,0.7430057266238076,1.061649950058472,0.2569942733761924,-1.5849431579974214,0.9031556342587298,0.7115975545024212
72,1,0,0,0,0,3500,0.0,81.0,300.0,1.0,1,1,0.7139550857101393,0.9146712137316626,0.2860449142898607,0.3103056330390686,0.9457017770355695,0.7202499496804979
74,1,1,3,0,1,5266,1774.0,187.0,360.0,1.0,1,1,0.7399382097017709,1.0456474245356082,0.26006179029822907,0.6357533375478005,1.1092227582903882,0.751984181165449
75,1,0,0,0,0,3750,0.0,113.0,480.0,1.0,2,0,0.5074371810477227,0.029750918417344806,-0.5074371810477227,0.3103056330390686,0.06078148172125167,0.5151906940244447
76,1,0,0,0,0,3750,4750.0,176.0,360.0,1.0,2,0,0.6545258756271753,0.6389933723959716,-0.6545258756271753,-1.5849431579974214,0.4804990565962295,0.617865712790236
77,1,1,1,0,1,1000,3022.0,110.0,360.0,1.0,2,0,0.7874940388571215,1.3098857605578103,-0.7874940388571215,0.01911517368982732,1.311797277926793,0.7878137500991813
78,1,1,3,0,0,3167,4000.0,180.0,300.0,0.0,1,0,0.2636011938096454,-1.027334496728439,-0.2636011938096454,-0.8439522076231205,-1.111729717490751,0.24754855640590148
80,0,0,0,0,0,3846,0.0,111.0,360.0,1.0,1,1,0.7139550857101393,0.9146712137316626,0.2860449142898607,0.3103056330390686,0.9457017770355695,0.7202499496804979
82,0,1,2,0,0,1378,1881.0,167.0,360.0,1.0,2,0,0.7773380130854955,1.250220411251861,-0.7773380130854955,0.0020519154184783454,1.2504256027937086,0.777373526360592
84,1,1,1,0,0,3988,0.0,50.0,240.0,1.0,2,1,0.7894021117266881,1.3213252658712988,0.21059788827331194,0.3103056330390686,1.3523558291752058,0.7945145105677534
85,1,0,0,0,0,2366,2531.0,136.0,360.0,1.0,1,1,0.6581353921082581,0.6549958979188354,0.3418646078917419,-1.5849431579974214,0.49650158211909323,0.6216368384845538
87,1,1,0,0,0,2500,2118.0,104.0,360.0,1.0,1,1,0.7430057266238076,1.061649950058472,0.2569942733761924,-1.5849431579974214,0.9031556342587298,0.7115975545024212
88,1,0,0,0,0,8566,0.0,210.0,360.0,1.0,2,1,0.7025694706169645,0.8595636038384941,0.2974305293830355,0.6357533375478005,0.9231389375932741,0.715681253919378
89,1,1,0,0,0,5695,4167.0,175.0,360.0,1.0,1,1,0.7399382097017709,1.0456474245356082,0.26006179029822907,0.6357533375478005,1.1092227582903882,0.751984181165449
90,1,1,0,0,0,2958,2900.0,131.0,360.0,1.0,1,1,0.7430057266238076,1.061649950058472,0.2569942733761924,-1.5849431579974214,0.9031556342587298,0.7115975545024212
91,1,1,2,0,0,6250,5654.0,188.0,180.0,1.0,1,1,0.7399382097017709,1.0456474245356082,0.26006179029822907,0.6357533375478005,1.1092227582903882,0.751984181165449
92,1,1,2,1,0,3273,1820.0,81.0,360.0,1.0,2,1,0.7430057266238076,1.061649950058472,0.2569942733761924,-1.5849431579974214,0.9031556342587298,0.7115975545024212
93,1,0,0,0,0,4133,0.0,122.0,360.0,1.0,1,1,0.7139550857101393,0.9146712137316626,0.2860449142898607,0.3103056330390686,0.9457017770355695,0.7202499496804979
94,1,0,0,1,0,3620,0.0,25.0,120.0,1.0,1,1,0.7139550857101393,0.9146712137316626,0.2860449142898607,0.3103056330390686,0.9457017770355695,0.7202499496804979
96,0,1,0,0,0,2484,2302.0,137.0,360.0,1.0,1,1,0.7430057266238076,1.061649950058472,0.2569942733761924,-1.5849431579974214,0.9031556342587298,0.7115975545024212
97,1,1,0,0,0,1977,997.0,50.0,360.0,1.0,1,1,0.7430057266238076,1.061649950058472,0.2569942733761924,-1.5849431579974214,0.9031556342587298,0.7115975545024212
98,1,1,0,1,0,4188,0.0,115.0,180.0,1.0,1,1,0.7894021117266881,1.3213252658712988,0.21059788827331194,0.3103056330390686,1.3523558291752058,0.7945145105677534
99,1,1,0,0,0,1759,3541.0,131.0,360.0,1.0,1,1,0.7430057266238076,1.061649950058472,0.2569942733761924,-1.5849431579974214,0.9031556342587298,0.7115975545024212
100,1,1,2,1,0,4288,3263.0,133.0,180.0,1.0,2,1,0.7430057266238076,1.061649950058472,0.2569942733761924,0.3659825947660783,1.0982482095350798,0.7499317289492948
101,1,0,0,0,0,4843,3806.0,151.0,360.0,1.0,1,1,0.6581353921082581,0.6549958979188354,0.3418646078917419,0.6357533375478005,0.7185712316736155,0.6722923149845785
105,1,1,1,0,0,3052,1030.0,100.0,360.0,1.0,2,1,0.7430057266238076,1.061649950058472,0.2569942733761924,-1.5849431579974214,0.9031556342587298,0.7115975545024212
106,1,1,2,0,0,11417,1126.0,225.0,360.0,1.0,2,1,0.7399382097017709,1.0456474245356082,0.26006179029822907,0.6357533375478005,1.1092227582903882,0.751984181165449
108,1,1,2,0,0,3800,3600.0,216.0,360.0,0.0,2,0,0.2636011938096454,-1.027334496728439,-0.2636011938096454,-0.8439522076231205,-1.111729717490751,0.24754855640590148
109,1,1,3,1,0,2071,754.0,94.0,480.0,1.0,1,1,0.6659577693090615,0.6899588349057059,0.3340422306909385,-1.5849431579974214,0.5314645191059637,0.6298246229757983
110,1,0,0,0,0,5316,0.0,136.0,360.0,1.0,2,1,0.7139550857101393,0.9146712137316626,0.2860449142898607,0.6357533375478005,0.9782465474864427,0.7267601545181426
115,1,1,1,0,0,14583,0.0,185.0,180.0,1.0,0,1,0.7800945854996683,1.2662176559781304,0.21990541450033174,0.6357533375478005,1.3297929897329104,0.7908063907999269
116,0,1,0,0,0,3167,2283.0,154.0,360.0,1.0,1,1,0.7430057266238076,1.061649950058472,0.2569942733761924,-1.5849431579974214,0.9031556342587298,0.7115975545024212
118,1,1,0,0,0,5568,2142.0,175.0,360.0,1.0,0,0,0.7399382097017709,1.0456474245356082,-0.7399382097017709,0.6357533375478005,1.1092227582903882,0.751984181165449
119,0,0,0,0,0,10408,0.0,259.0,360.0,1.0,2,1,0.7025694706169645,0.8595636038384941,0.2974305293830355,0.6357533375478005,0.9231389375932741,0.715681253919378
121,0,0,0,0,0,4166,0.0,44.0,360.0,1.0,1,1,0.7139550857101393,0.9146712137316626,0.2860449142898607,0.3103056330390686,0.9457017770355695,0.7202499496804979
122,0,0,0,0,0,2137,8980.0,137.0,360.0,0.0,1,1,0.2636011938096454,-1.027334496728439,0.7363988061903546,-0.8439522076231205,-1.111729717490751,0.24754855640590148
123,1,1,2,0,0,2957,0.0,81.0,360.0,1.0,1,1,0.7894021117266881,1.3213252658712988,0.21059788827331194,0.3103056330390686,1.3523558291752058,0.7945145105677534
124,1,1,0,1,0,4300,2014.0,194.0,360.0,1.0,0,1,0.7399382097017709,1.0456474245356082,0.26006179029822907,0.3659825947660783,1.082245684012216,0.7469187228963817
128,1,1,1,0,1,10513,3850.0,160.0,180.0,0.0,2,0,0.2636011938096454,-1.027334496728439,-0.2636011938096454,-0.8439522076231205,-1.111729717490751,0.24754855640590148
131,1,0,0,0,0,2014,1929.0,74.0,360.0,1.0,2,1,0.6581353921082581,0.6549958979188354,0.3418646078917419,-1.5849431579974214,0.49650158211909323,0.6216368384845538
132,1,0,0,0,0,2718,0.0,70.0,360.0,1.0,1,1,0.7139550857101393,0.9146712137316626,0.2860449142898607,0.3103056330390686,0.9457017770355695,0.7202499496804979
133,1,1,0,0,1,3459,0.0,25.0,120.0,1.0,1,1,0.7894021117266881,1.3213252658712988,0.21059788827331194,0.3103056330390686,1.3523558291752058,0.7945145105677534
134,1,0,0,0,0,4895,0.0,102.0,360.0,1.0,1,1,0.7139550857101393,0.9146712137316626,0.2860449142898607,0.6357533375478005,0.9782465474864427,0.7267601545181426
135,1,1,3,0,0,4000,7750.0,290.0,360.0,1.0,1,0,0.7536018993894927,1.1179157206118777,-0.7536018993894927,-1.5849431579974214,0.9594214048121356,0.7230059457744525
136,0,1,0,0,0,4583,0.0,84.0,360.0,1.0,0,0,0.7894021117266881,1.3213252658712988,-0.7894021117266881,0.3659825947660783,1.3579235253479067,0.795422008912774
137,1,1,2,0,1,3316,3500.0,88.0,360.0,1.0,2,1,0.7430057266238076,1.061649950058472,0.2569942733761924,-1.5849431579974214,0.9031556342587298,0.7115975545024212
138,1,0,0,0,0,14999,0.0,242.0,360.0,0.0,1,0,0.2636011938096454,-1.027334496728439,-0.2636011938096454,-0.8439522076231205,-1.111729717490751,0.24754855640590148
139,1,1,2,1,0,4200,1430.0,129.0,360.0,1.0,0,0,0.7430057266238076,1.061649950058472,-0.7430057266238076,0.3659825947660783,1.0982482095350798,0.7499317289492948
140,1,1,2,0,0,5042,2083.0,185.0,360.0,1.0,0,0,0.7399382097017709,1.0456474245356082,-0.7399382097017709,0.6357533375478005,1.1092227582903882,0.751984181165449
141,1,0,0,0,0,5417,0.0,168.0,360.0,1.0,2,1,0.7025694706169645,0.8595636038384941,0.2974305293830355,0.6357533375478005,0.9231389375932741,0.715681253919378
142,1,0,0,0,1,6950,0.0,175.0,180.0,1.0,1,1,0.7025694706169645,0.8595636038384941,0.2974305293830355,0.6357533375478005,0.9231389375932741,0.715681253919378
143,1,1,0,0,0,2698,2034.0,122.0,360.0,1.0,1,1,0.7430057266238076,1.061649950058472,0.2569942733761924,-1.5849431579974214,0.9031556342587298,0.7115975545024212
144,1,1,2,0,0,11757,0.0,187.0,180.0,1.0,2,1,0.7800945854996683,1.2662176559781304,0.21990541450033174,0.6357533375478005,1.3297929897329104,0.7908063907999269
145,0,1,0,0,0,2330,4486.0,100.0,360.0,1.0,1,1,0.7430057266238076,1.061649950058472,0.2569942733761924,-1.5849431579974214,0.9031556342587298,0.7115975545024212
146,0,1,2,0,0,14866,0.0,70.0,360.0,1.0,2,1,0.7894021117266881,1.3213252658712988,0.21059788827331194,0.6357533375478005,1.3849005996260788,0.7997769049147031
147,1,1,1,0,0,1538,1425.0,30.0,360.0,1.0,2,1,0.7865673513042185,1.304357032922855,0.2134326486957815,0.01911517368982732,1.3062685502918379,0.7868880794357624
148,0,0,0,0,0,10000,1666.0,225.0,360.0,1.0,0,0,0.6545258756271753,0.6389933723959716,-0.6545258756271753,0.6357533375478005,0.7025687061507517,0.6687570411380733
149,1,1,0,0,0,4860,830.0,125.0,360.0,1.0,1,1,0.7430057266238076,1.061649950058472,0.2569942733761924,0.6357533375478005,1.125225283813252,0.7549566661131775
150,1,0,0,0,0,6277,0.0,118.0,360.0,0.0,0,0,0.2636011938096454,-1.027334496728439,-0.2636011938096454,-0.8439522076231205,-1.111729717490751,0.24754855640590148
151,1,1,0,0,1,2577,3750.0,152.0,360.0,1.0,0,1,0.7430057266238076,1.061649950058472,0.2569942733761924,-1.5849431579974214,0.9031556342587298,0.7115975545024212
152,1,0,0,0,0,9166,0.0,244.0,360.0,1.0,2,0,0.7025694706169645,0.8595636038384941,-0.7025694706169645,0.6357533375478005,0.9231389375932741,0.715681253919378
153,1,1,2,1,0,2281,0.0,113.0,360.0,1.0,0,0,0.7894021117266881,1.3213252658712988,-0.7894021117266881,0.3103056330390686,1.3523558291752058,0.7945145105677534
